all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	sum taxonomy
forward_fishcard_12S_all_282	1	0	0	
forward_fishcard_12S_all_283	1	0	0	
forward_fishcard_12S_all_284	1	0	0	
forward_fishcard_12S_all_285	1	0	0	
forward_fishcard_12S_all_286	1	0	0	
forward_fishcard_12S_all_287	1	0	0	
forward_fishcard_12S_all_288	1	0	0	
forward_fishcard_12S_all_289	1	0	0	
forward_fishcard_12S_all_290	1	0	0	
forward_fishcard_12S_all_291	1	0	0	
forward_fishcard_12S_all_292	1	0	0	
forward_fishcard_12S_all_293	1	0	0	
forward_fishcard_12S_all_294	1	0	0	
forward_fishcard_12S_all_295	1	0	0	
forward_fishcard_12S_all_296	1	0	0	
forward_fishcard_12S_all_297	1	0	0	
forward_fishcard_12S_all_298	1	0	0	
forward_fishcard_12S_all_299	1	0	0	
forward_fishcard_12S_all_300	1	0	0	
forward_fishcard_12S_all_301	1	0	0	
forward_fishcard_12S_all_302	1	0	0	
forward_fishcard_12S_all_303	1	0	0	
forward_fishcard_12S_all_304	1	0	0	
forward_fishcard_12S_all_305	1	0	0	
forward_fishcard_12S_all_306	1	0	0	
forward_fishcard_12S_all_307	1	0	0	
forward_fishcard_12S_all_308	1	0	0	
forward_fishcard_12S_all_309	1	0	0	
forward_fishcard_12S_all_310	1	0	0	
forward_fishcard_12S_all_311	1	0	0	
forward_fishcard_12S_all_312	1	0	0	
forward_fishcard_12S_all_313	1	0	0	
forward_fishcard_12S_all_314	1	0	0	
forward_fishcard_12S_all_315	1	0	0	
forward_fishcard_12S_all_316	1	0	0	
forward_fishcard_12S_all_317	1	0	0	
forward_fishcard_12S_all_318	1	0	0	
forward_fishcard_12S_all_319	1	0	0	
forward_fishcard_12S_all_320	1	0	0	
forward_fishcard_12S_all_321	1	0	0	
forward_fishcard_12S_all_322	1	0	0	
forward_fishcard_12S_all_323	1	0	0	
forward_fishcard_12S_all_324	1	0	0	
forward_fishcard_12S_all_325	1	0	0	
forward_fishcard_12S_all_326	1	0	0	
forward_fishcard_12S_all_327	1	0	0	
forward_fishcard_12S_all_328	1	0	0	
forward_fishcard_12S_all_329	1	0	0	
forward_fishcard_12S_all_330	1	0	0	
forward_fishcard_12S_all_331	1	0	0	
forward_fishcard_12S_all_332	1	0	0	
forward_fishcard_12S_all_333	1	0	0	
forward_fishcard_12S_all_334	1	0	0	
forward_fishcard_12S_all_335	1	0	0	
forward_fishcard_12S_all_336	1	0	0	
forward_fishcard_12S_all_337	1	0	0	
forward_fishcard_12S_all_338	1	0	0	
forward_fishcard_12S_all_339	1	0	0	
forward_fishcard_12S_all_340	1	0	0	
forward_fishcard_12S_all_341	1	0	0	
forward_fishcard_12S_all_342	1	0	0	
forward_fishcard_12S_all_343	1	0	0	
forward_fishcard_12S_all_344	1	0	0	
forward_fishcard_12S_all_345	1	0	0	
forward_fishcard_12S_all_346	1	0	0	
forward_fishcard_12S_all_347	1	0	0	
forward_fishcard_12S_all_348	1	0	0	
forward_fishcard_12S_all_349	1	0	0	
forward_fishcard_12S_all_350	1	0	0	
forward_fishcard_12S_all_351	1	0	0	
forward_fishcard_12S_all_352	1	0	0	
forward_fishcard_12S_all_353	1	0	0	
forward_fishcard_12S_all_354	1	0	0	
forward_fishcard_12S_all_355	1	0	0	
forward_fishcard_12S_all_356	1	0	0	
forward_fishcard_12S_all_357	1	0	0	
forward_fishcard_12S_all_358	1	0	0	
forward_fishcard_12S_all_359	1	0	0	
forward_fishcard_12S_all_360	1	0	0	
forward_fishcard_12S_all_361	1	0	0	
forward_fishcard_12S_all_362	1	0	0	
forward_fishcard_12S_all_363	1	0	0	
forward_fishcard_12S_all_364	1	0	0	
forward_fishcard_12S_all_365	1	0	0	
forward_fishcard_12S_all_366	1	0	0	
forward_fishcard_12S_all_367	1	0	0	
forward_fishcard_12S_all_368	1	0	0	
forward_fishcard_12S_all_369	1	0	0	
forward_fishcard_12S_all_370	1	0	0	
forward_fishcard_12S_all_371	1	0	0	
forward_fishcard_12S_all_372	1	0	0	
forward_fishcard_12S_all_373	1	0	0	
forward_fishcard_12S_all_374	1	0	0	
forward_fishcard_12S_all_375	1	0	0	
forward_fishcard_12S_all_376	1	0	0	
forward_fishcard_12S_all_377	1	0	0	
forward_fishcard_12S_all_378	1	0	0	
forward_fishcard_12S_all_379	1	0	0	
forward_fishcard_12S_all_380	1	0	0	
forward_fishcard_12S_all_381	1	0	0	
forward_fishcard_12S_all_382	1	0	0	
forward_fishcard_12S_all_383	1	0	0	
