all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_fishcard_12S_all_34	0	0	6	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Seriola;species:Seriola lalandi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:99.1666666667;	FISHCARD_miu_240.1;AB517557.1;MK158068.1;LC499588.1;MH211123.1;KP347126.1;AB938138.1;KP733847.1;AB517559.2;FISHCARD_miu_573.1;AB972179.1;FISHCARD_miu_579.1;MH248250.1;LC178321.1;LC178325.1;LC178326.1;LC178317.1;LC178313.1;LC178315.1;LC178308.1;LC178319.1;LC178320.1;LC178330.1;LC178306.1;LC178312.1;LC178307.1;LC178311.1;LC178327.1;LC178316.1;LC178328.1;LC178309.1;LC178318.1;LC178323.1;LC178329.1;LC178310.1;LC178314.1;LC178324.1;LC178322.1;LC178232.1;LC178240.1;LC178262.1;LC178279.1;LC178293.1;LC178276.1;LC178248.1;LC178273.1;LC178235.1;LC178292.1;LC178254.1;LC178291.1;LC178288.1;LC178227.1;LC178249.1;LC178246.1;LC178289.1;LC178284.1;LC178302.1;LC178282.1;LC178224.1;LC178269.1;LC178250.1;LC178278.1;LC178261.1;LC178296.1;LC178243.1;LC178264.1;LC178244.1;LC178242.1;LC178268.1;LC178259.1;LC178256.1;LC178230.1;LC178299.1;LC178295.1;LC178300.1;LC178231.1;LC178305.1;LC178265.1;LC178272.1;LC178245.1;LC178239.1;LC178229.1;LC178277.1;LC178267.1;LC178258.1;LC178290.1;LC178280.1;LC178283.1;LC178298.1;LC178274.1;LC178225.1;LC178287.1;LC178297.1;LC178286.1;LC178257.1;LC178271.1;LC178234.1;LC178247.1;JQ707030.1;FISHCARD_miu_346.1
forward_fishcard_12S_all_35	4	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1
forward_fishcard_12S_all_36	3	0	2	not_found		
forward_fishcard_12S_all_37	0	1	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Clupeidae;genus:Sardinops;species:Sardinops sagax;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_087.1;FISHCARD_miu_581.1;LC091577.1;LC091585.1;LC069397.1;LC069399.1;LC385054.1;LC500738.1;LC020933.1;AB032554.1;LC069398.1;LC069396.1;MG570434.1;LC091583.1;MH377781.1;LC091584.1;KY769128.1;FISHCARD_miu_445.1;MH377780.1;HQ331537.1;MG570422.1;LC105798.1;LC105788.1;LC105903.1;LC105921.1;LC105918.1;LC105827.1;LC105901.1;LC105736.1;LC105850.1;LC105896.1;LC105797.1;LC105938.1;LC105892.1;LC105908.1;LC105983.1;LC105819.1;LC105741.1;LC105793.1;LC105956.1;LC105757.1;LC105975.1;LC105880.1;LC105789.1;LC105773.1;LC105770.1;LC105764.1;LC105719.1;LC105716.1;LC105784.1;LC105820.1;LC105867.1;LC105911.1;LC105937.1;LC105959.1;LC105746.1;LC105748.1;LC105934.1;LC105909.1;LC105723.1;LC105808.1;LC105705.1;LC105846.1;LC105825.1;LC105810.1;LC105863.1;LC105958.1;LC105845.1;LC105804.1;LC105961.1;LC105710.1;LC105933.1;LC105889.1;LC105791.1;LC105715.1;LC105859.1;LC105816.1;LC105871.1;LC105919.1;LC105734.1;LC105940.1;LC105833.1;LC105803.1;LC105807.1;LC105728.1;LC105802.1;LC105895.1;LC105758.1;LC105890.1;LC105814.1;LC105931.1;LC105778.1;LC105813.1;LC105858.1;LC105712.1;LC105753.1;LC105843.1;LC105986.1;LC105872.1;LC105985.1
forward_fishcard_12S_all_38	4	0	0	not_found		
forward_fishcard_12S_all_39	4	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_289.1;KC136546.1
forward_fishcard_12S_all_40	4	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_41	3	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;AB972189.1;DQ872160.1;AP006010.1;KC136375.1;KC136516.1;KC136402.1;KC136531.1;KC136474.1;LC037025.1;KC136543.1;KC136404.1;KC136451.1;KC136573.1;KC136398.1;KC136505.1;KC136362.1;KC136456.1;KC136540.1;KC136519.1;KC136377.1;KC136428.1;KC136570.1;KC136529.1;KC136384.1;KC136521.1;KC136558.1;KC136578.1;KC136423.1;AY279561.1;KC136409.1;FISHCARD_miu_167.1;EF616895.1;KC136574.1
forward_fishcard_12S_all_42	3	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_43	3	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_44	2	1	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:98.55;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_348.1
forward_fishcard_12S_all_45	1	2	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.75;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1;FISHCARD_miu_348.1;FISHCARD_miu_395.1;FISHCARD_miu_568.1
forward_fishcard_12S_all_46	0	4	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Blenniiformes;family:Clinidae;genus:Heterostichus;species:Heterostichus rostratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_244.1;FISHCARD_miu_517.1;FISHCARD_miu_243.1;FISHCARD_miu_190.1
forward_fishcard_12S_all_47	0	4	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Embiotocidae;genus:Embiotoca;species:Embiotoca jacksoni;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:91.7457875458;species:91.5457875458;	FISHCARD_miu_189.1;AF285918.1;AY279573.1;KU530212.1;FISHCARD_miu_701.1;FISHCARD_miu_044.1;FISHCARD_miu_685.1;FISHCARD_miu_163.1;FISHCARD_miu_406.1;LC091972.1;LC091971.1;AY279572.1;FISHCARD_miu_043.1;LC091975.1;LC091976.1;FISHCARD_miu_266.1;FISHCARD_miu_264.1;FISHCARD_miu_164.1;FISHCARD_miu_141.1;FJ616394.1;FISHCARD_miu_265.1;LC091978.1;AP009128.1;LC091977.1;FISHCARD_miu_142.1;LC104608.1;FISHCARD_miu_263.1;JN125224.1;JN125222.1;LC091973.1;LC091974.1;FISHCARD_miu_046.1;FISHCARD_miu_160.1;JN125226.1;JN125223.1;JN125227.1;FISHCARD_miu_161.1;FISHCARD_miu_162.1;JN125225.1;AY279571.1
forward_fishcard_12S_all_48	0	0	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:58.0;species:58.0;	FISHCARD_miu_165.1;FISHCARD_miu_292.1;AY279632.1;KY815300.1
forward_fishcard_12S_all_49	0	0	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pleuronectiformes;family:Paralichthyidae;genus:Citharichthys;species:Citharichthys sordidus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.0;	FISHCARD_miu_328.1;LC145943.1;FISHCARD_miu_330.1;AF488499.1;FISHCARD_miu_329.1;LC092080.1;LC049675.1
forward_fishcard_12S_all_50	0	0	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pleuronectiformes;family:Paralichthyidae;genus:Citharichthys;species:Citharichthys sordidus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:92.5;	FISHCARD_miu_328.1;LC145943.1;FISHCARD_miu_330.1;AF488499.1;FISHCARD_miu_329.1;LC092080.1;LC049675.1
forward_fishcard_12S_all_51	0	0	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Anguilliformes;family:Muraenidae;genus:Gymnothorax;species:Gymnothorax mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_655.1
forward_fishcard_12S_all_52	0	0	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Cottidae;genus:Ruscarius;species:Ruscarius creaseri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_389.1;FISHCARD_miu_473.1;KM057965.1;LC091918.1;LC091917.1;FISHCARD_miu_253.1;LC091919.1
forward_fishcard_12S_all_53	3	0	0	not_found		
forward_fishcard_12S_all_54	3	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_55	2	0	1	not_found		
forward_fishcard_12S_all_56	2	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_343.1;DQ336169.1;AP014536.1;FISHCARD_miu_333.1
forward_fishcard_12S_all_57	2	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1
forward_fishcard_12S_all_58	1	2	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.6;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_348.1;FISHCARD_miu_395.1;FISHCARD_miu_568.1;DQ336169.1;FISHCARD_miu_343.1
